Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Precio por defecto,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Disponibles para la venta [Pico De Gallo],Precio [Pico De Gallo],En inventario [Pico De Gallo],Existencias bajas [Pico De Gallo],"modificador - ""Arroz/Rice""","modificador - ""Frijoles/Beans""","modificador - ""Vegetales+/Vegetables+""","modificador - ""Extras""","modificador - ""Salsas""","modificador - ""Add-On's""","modificador - ""Proteina Extra/Proteins""","modificador - ""Modificadores de Birria/Modifiers""","modificador - ""Make Your Quesadilla Better""","modificador - ""Party Packs' Options""","modificador - ""Fajitas by the Pounds""","modificador - ""Termino de la Carne""","modificador - ""Chips n Guac""","modificador - ""Chips n Queso""","modificador - ""Guac""","modificador - ""Queso""","modificador - ""Extra Salsa""","modificador - ""Taco's Extras""","impuesto - ""Desechables"" (3%)","impuesto - ""IVA"" (13%)"
agua,10057,Agua,Drinks,,N,,,,,,,0.75,0.00,,,,N,Y,0.75,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
beef-barbacoa-1,10008,Beef Barbacoa Bowl,Bowls,<p>Construye tu propio burrito bowl. Elige entro todos los ingredientes que ofrecemos. Algunos ingredientes tienen costo adicional.</p>,N,,,,,,,8.99,0.00,,,,N,Y,8.99,,,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N
beef-barbacoa,10003,Beef Barbacoa Burrito,Burritos,<p>Construye tu propio burrito. Elige entro todos los ingredientes que ofrecemos. Algunos ingredientes tienen costo adicional.</p>,N,,,,,,,8.99,0.00,,,,N,Y,8.99,,,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N
beef-barbacoa-nachos,10023,Beef Barbacoa Nachos,Nachos,<p>Construye tu propio nachos. Selecciona entre nuestros ingredientes frescos todos los dias. No olvides el Guac!</p>,N,,,,,,,11.48,0.00,,,,N,Y,11.48,,,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N
beef-barbacoa-quesadilla,10040,Beef Barbacoa Quesadilla,Quesadillas,<p>Tortilla de harina rellena con Queso Monterrey Jack derretido y barbacoa de res cocinado lento. Servido con guacamole y crema &aacute;cida.</p>,N,,,,,,,9.29,0.00,,,,N,Y,9.29,,,N,N,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,Y,N
beef-barbacoa-taco,10035,Beef Barbacoa Taco,Tacos,<p>Taco individual. Construye tu propio Taco. Elige entre todos nuestros ingredientes y crea tu propio taco.</p>,N,,,,,,,4.49,0.00,,,,N,Y,4.49,,,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N
birria-burrito,10065,Birria Burrito,Birria,"<p>Tortilla de harina rellena birria cocinado con chiles importados, arroz cilantro-limon, queso Monterrey Jack con cebolla, cilantro y consome de birria.</p>",N,,,,,,,9.49,0.00,,,,N,Y,9.49,,,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N
birria-nachos,10062,Birria Nachos,Birria,"<p>Birria sobre nacho chips, queso Monterrey Jack y queso derretido. Servido con cebolla, cilantro y consome de birria.</p>",N,,,,,,,11.99,0.00,,,,N,Y,11.99,,,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N
birria-quesadilla,10064,Birria Quesadilla,Birria,"<p>Tortillas de harina rellena de queso monterrey Jack y birria preparada con chiles importados. Servida con cebolla y cilantro, y consome de birria.</p>",N,,,,,,,9.49,0.00,,,,N,Y,9.49,,,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N
birria-ramen,10061,Birria Ramen,Birria,"<p>Ramen noodles con nuestra deliciosa birria. Servido con Monterrey Jack, ma&iacute;z asado, jalape&ntilde;os, cebolla y cilantro, y tortilla chips. Huevo ramen incluido.</p>",N,,,,,,,9.49,0.00,,,,N,Y,9.49,,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N
birria-tacos,10063,Birria Tacos,Birria,"<p>Tortilla de ma&iacute;z rellena de birria cocinado con chiles importados y queso Monterrey Jack. Servido con cebolla, cilantro y consome de birria.</p>",N,,,,,,,9.49,0.00,,,,N,Y,9.49,,,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N
brisket-ahumado-1,10017,Brisket Ahumado Bowl,Bowls,<p>Construye tu propio burrito bowl. Elige entro todos los ingredientes que ofrecemos. Algunos ingredientes tienen costo adicional.</p>,N,,,,,,,9.99,0.00,,,,N,Y,9.99,,,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N
brisket-burrito,10015,Brisket Ahumado Burrito,Burritos,<p>Construye tu propio burrito. Elige entro todos los ingredientes que ofrecemos. Algunos ingredientes tienen costo adicional.</p>,N,,,,,,,9.99,0.00,,,,N,Y,9.99,,,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N
brisket-nachos,10020,Brisket Nachos,Nachos,<p>Construye tus propio nachos. Selecciona entre nuestros ingredientes frescos todos los dias. No olvides el Guac!</p>,N,,,,,,,11.48,0.00,,,,N,Y,11.48,,,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N
brisket-quesadilla,10041,Brisket Quesadilla,Quesadillas,<p>Nuestra carne ahumada con queso Monterey Jack derretido y salteados. Servido con jalapenos en curtido y crema acida.</p>,N,,,,,,,9.29,0.00,,,,N,Y,9.29,,,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N
brisket-taco,10026,Brisket Taco,Tacos,"<p>Taco Individual. Brisket ahumado servido en taco con cebolla, cilantro, queso jack, jalapenos en curtido y aguacate. Salsa fuego para acompa&ntilde;ar su gran sabor.</p>",N,,,,,,,4.49,0.00,,,,N,Y,4.49,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N
canada-dry,10060,Canada Dry,Drinks,<p>Soda de Jengibre</p>,N,,,,,,,1.99,0.00,,,,N,Y,1.99,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
carne-asada-1,10005,Carne Asada Bowl,Bowls,<p>Construye tu propio burrito bowl. Elige entro todos los ingredientes que ofrecemos. Algunos ingredientes tienen costo adicional.</p>,N,,,,,,,8.99,0.00,,,,N,Y,8.99,,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N
